paper_id,inst,type1,lab
0be1bbb7df37d50f27ee810e84c4bbff7148c26a,Stanford University,,positive
0fbd0a762f5f1d48192c9365b24763607b0ae244,,,positive
1002c9e580917f5633e3cf81dfe945902c987e97,,,positive
102a5c45e8371056c4acf8d40cf0177265af458e,,,positive
10a69c008fa0c9a37b2bb398c85b11feeb4ada4a,,,maybe
12ea1e849124165e8b10204269bfcb3c4eb3427f,,,negative
12fc53fe5d94ce80125d33258b5bff84115fbe47,,,positive
143d2e02ab91ae6259576ac50b664b8647af8988,,,negative
16cd0cadc4a757d85da6bd72992f6fb75a685ac7,Massachusetts Institute of Technology,,negative
16cd0cadc4a757d85da6bd72992f6fb75a685ac7,Northwestern University,,negative
16cd0cadc4a757d85da6bd72992f6fb75a685ac7,Harvard University,,negative
16cd0cadc4a757d85da6bd72992f6fb75a685ac7,University of Michigan,,negative
16cd0cadc4a757d85da6bd72992f6fb75a685ac7,Northeastern University,,negative
16cd0cadc4a757d85da6bd72992f6fb75a685ac7,UCSD,,negative
172361c8b70a3ce63f7d6177473f2ccd5b5216b2,,,positive
1831ce076f4a417171953ecb344a12ba4594b056,University of Newcastle,,positive
1a03530daf40bf4de7d4e8a1908209a9fb664057,,,positive
1a8f780401f6be8c35044ff9cb8dfc27ae7eaf4b,Virginia Tech,,maybe
1f0a403ced081ea5f6ac29e24d4fff2333809185,,,maybe
2008bee9f8c2d7e41ac9c5c54489f41989a0d7ba,Columbia University NY,,positive
2008bee9f8c2d7e41ac9c5c54489f41989a0d7ba,Washington University St,,positive
22bf6bccf7da09e60943040beebcdb2f2a0ff840,Princeton University,Princeton New Jersey,positive
25e2157edec9612006bd3fa7c58ec9f01316b071,Simon Fraser University,,maybe
25e2157edec9612006bd3fa7c58ec9f01316b071,University of Victoria,,maybe
2d220c85995d8664d2b75fae58a2a36dfe31b8b3,University of Colorado,Boulder CO USA,positive
344224e1f841531374e6575bdf0946f8a5c49cdb,East Carolina University,Greenville North Carolina,positive
3cbc814f6e42ac6c6cc2700f26ce3d7354a00150,Stanford University,Stanford California,positive
41fb79ea7f0fcde0f2f55a2979446a28a733b6b9,,,positive
42297be05f99e8111f35800a524b66cba267c6b7,University of Virginia,Cocke Hall Charlottesville,negative
42e9bc7fbcd4a686aa9475d514d6cf3e7febd132,Harvard University,Cambridge,positive
42e9bc7fbcd4a686aa9475d514d6cf3e7febd132,Harvard University,MA,positive
42e9bc7fbcd4a686aa9475d514d6cf3e7febd132,Harvard University,Boston MA USA,positive
42e9bc7fbcd4a686aa9475d514d6cf3e7febd132,Boston University,Cambridge,positive
42e9bc7fbcd4a686aa9475d514d6cf3e7febd132,Boston University,MA,positive
42e9bc7fbcd4a686aa9475d514d6cf3e7febd132,Boston University,Boston MA USA,positive
4955edcc18f56fcfeeedc8abc914653ca8fcbfeb,,,positive
4c553da70598582e768e1a1f3ada7cc0eae50fa0,Dundalk Institute of Technology,Dundalk County Louth Ireland,
4c611e64fc035d11e8eab52a44c16d71574752f4,University of Toronto,Toronto Canada,negative
4df5196879a5c7d53390776f946beed553f3d898,Stanford University,Stanford California,positive
4df5196879a5c7d53390776f946beed553f3d898,Google,Stanford California,positive
4df5196879a5c7d53390776f946beed553f3d898,University of Washington,Stanford California,positive
4edaded63d9d7ea27f5c4819f35d7168e1ae7974,Massachusetts Institute of Technology,,negative
51995dc568874ea34911833355234b1f696dacfc,,,maybe
5460d9ad7f6cfbcd8dd1b2ca0c21d77936dc563c,Santa Fe Institute,Santa Fe NM USA,positive
5460d9ad7f6cfbcd8dd1b2ca0c21d77936dc563c,Santa Fe Institute,Boulder CO USA,positive
5460d9ad7f6cfbcd8dd1b2ca0c21d77936dc563c,University of Colorado,Santa Fe NM USA,positive
5460d9ad7f6cfbcd8dd1b2ca0c21d77936dc563c,University of Colorado,Boulder CO USA,positive
54832f5f4a629a115ad0069c62222973b3568eac,Naval Weapons Center,China Lake California,
56322e8d2a7de0af09f0ae4236c7185c85184da9,,,
57b5695efa50d12c5a1ac5156a6752d10823f181,,,negative
5cae1fd7937a1a14feb07b71f1b0e83d65ab9855,Carnegie Mellon University,Pittsburg PA,negative
5d17d30b4605953c5691fb0281969f4681d2aa7f,Carnegie Mellon University,Pittsburg PA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Carnegie Mellon University,Santa Fe NM USA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Carnegie Mellon University,Berlin Germany,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Carnegie Mellon University,Leeds UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Carnegie Mellon University,London UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Santa Fe Institute,Pittsburg PA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Santa Fe Institute,Santa Fe NM USA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Santa Fe Institute,Berlin Germany,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Santa Fe Institute,Leeds UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Santa Fe Institute,London UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Max Planck Institute for Human Development,Pittsburg PA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Max Planck Institute for Human Development,Santa Fe NM USA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Max Planck Institute for Human Development,Berlin Germany,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Max Planck Institute for Human Development,Leeds UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Max Planck Institute for Human Development,London UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Leeds University Business School,Pittsburg PA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Leeds University Business School,Santa Fe NM USA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Leeds University Business School,Berlin Germany,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Leeds University Business School,Leeds UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,Leeds University Business School,London UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,London School of Economics,Pittsburg PA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,London School of Economics,Santa Fe NM USA,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,London School of Economics,Berlin Germany,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,London School of Economics,Leeds UK,positive
5d17d30b4605953c5691fb0281969f4681d2aa7f,London School of Economics,London UK,positive
5ea2544d427ac5b1eba4a4ba3f1fb28a4884289a,University of California Davis,,positive
5ea2544d427ac5b1eba4a4ba3f1fb28a4884289a,Eindhoven Unversity of Technology,,positive
5f0b4e7d8484ad091ad506592c2650521e5b4fa3,,,negative
5f3bcff2f4ce3130df160719c096bfe942b06f58,Stanford University,Stanford California,positive
6314a4aee7c8397713b04618e0f1b3f99d537c29,Carnegie Mellon University,Pittsburg PA,negative
63542ca97e169adbd873890548fc7b5b8e73718d,,,positive
638455c51173df855b44b3d717643963356e305a,,,negative
6885f8ea0f2c0457ce92fe59053bbafebc309f53,,Gallarate Italy,
6957cb5b8335a27e7bcccad134ae730523e5de8e,,,probably
6a173d4c6e0498a03cc24f749fbc2383c7028981,Harvard University,Cambridge MA,positive
6a173d4c6e0498a03cc24f749fbc2383c7028981,UCSD,Cambridge MA,positive
6a2dace3dbaef20d1152ca939299d4fd371c2ac0,,,positive
71171f8d34d0eec5630a16fff239c978fe53c383,Harvard University,Cambridge MA,positive
74974454d1e1805de5e890bc38b36baed2b4ec19,,,positive
7a1e584f9a91472d6e15184f1648f57256216198,,,maybe
7d61ed7f458aba6c563235dabbfe37e4c100e89f,,,positive
7d9cc63dfbd34acf271e3a2c922ea1c07fb2f482,,,positive
7f61f59bddbfaacdcb4078acbb52d539bf2a0cbe,,,negative
80b2ea528ee7d66c659565bd5f2fcd747278993d,Princeton University,Princeton New Jersey,positive
8343d712c0915e420f392c44dd61c126e2c77ac1,,,
840d28400587f52bce77dba48a9b2a68ae1a62c2,,,positive
86c2e053f6f16ce9f7660b2b6ac4a0c87927200e,Ecole des Mines de Paris,Paris France,negative
88bc69f6483715620a088d5b3431898bcc80c864,,,positive
8ffb1d1a1f95e1653c71ee64befa4d632cb49f37,UCLA,,
94bdbe81fca7501248fc84b643b86ce87b5858cf,Weizmann Institute of Science,Israel,
9bd8099839cc23497a8fdf354a74100e77227230,,,positive
9c67f30235a47e305dc57c9f185d5587faca4236,Harvard University,Cambridge MA,positive
9c67f30235a47e305dc57c9f185d5587faca4236,Harvard University,Berkeley CA,positive
9c67f30235a47e305dc57c9f185d5587faca4236,UCB,Cambridge MA,positive
9c67f30235a47e305dc57c9f185d5587faca4236,UCB,Berkeley CA,positive
9d2328b6ea1ebbe5503d88b872220d43e7097f96,,,positive
9f31d053464bad07873fb26f7f52d5da7fd455be,,,negative
a48d9e6aeb0a99cb6a2c501f4febf2afb7bc49a7,Northwestern University,Evanston IL,positive
a48d9e6aeb0a99cb6a2c501f4febf2afb7bc49a7,Stanford University,Evanston IL,positive
a4a1cf47f43a6dc520053846101648196d26f18b,,,
a65e2af0f4a1b03db4b05357c4cb3b8a6a4d7894,,,negative
abd6cc122265b2d5de049145a0d91211bace5009,,,positive
aed20302f003a751b1af4e40ace379b9fd255cc7,,,negative
b021e8cf155a7c4c8244506c7caaa99bea0eaac9,Massachusetts Institute of Technology,,positive
b11c97820195fba5d4867b986b0858ed593b43aa,Princeton University,Princeton New Jersey,positive
b232320af109ed99ec28a377a6760e2267c263a5,Georgia Institute of Technology,,negative
b54bcfca3fddc26b8889739a247a25e445818149,,,negative
b5d7a19bd0bae10917a8e294960fdacf224d64fe,Stanford University,Stanford California,positive
b83cb61abb089e8108ec23a8660cfb4dfa900f43,,,
be5b11775e2e4a32c1b6dca28c7b24eb158059f6,,,negative
bfc23938b16cf2cf24a46357434d183b0303d096,,,positive
c18e72f18e1176838f44d8f2df336b507684ec00,Stanford University,Stanford California,negative
c1e49d830e67269d4d2053a5f124ea773c79b740,,,negative
c3af001622108e0b0fc4fb569cb3946694cf8c1c,University of Pennsylvania,Victoria Australia,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,University of Pennsylvania,Philadelphia Pennsylvania UA,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,University of Pennsylvania,Stony Brook NY USA,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,Stony Brook University,Victoria Australia,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,Stony Brook University,Philadelphia Pennsylvania UA,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,Stony Brook University,Stony Brook NY USA,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,University of Melbourne,Victoria Australia,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,University of Melbourne,Philadelphia Pennsylvania UA,
c3af001622108e0b0fc4fb569cb3946694cf8c1c,University of Melbourne,Stony Brook NY USA,
cb8202c3189cce0908a721e59f049438db8654c2,,,positive
d94293e17e4d814ac3e9df8091e19d88b82bbc0b,,,positive
ddb27ea00f085129692d774d954adccaea78e0c4,Massachusetts Institute of Technology,Cambridge,positive
ddb27ea00f085129692d774d954adccaea78e0c4,Massachusetts Institute of Technology,MA,positive
dff42f982bba41e8a467b5a10f489efa3e31d914,University of Wisconsin-Madison,,
e190bad744470a9fd4e4c46ed8e39f0ccc445589,,,maybe
e1e7ef0059c2c642d96d996172579c67e71a005e,UCSC,Santa Cruz CA,negative
e4055b6eb404a0b8c7780d14a8864a281ab3393b,University of Colorado Boulder,Santa Fe NM USA,positive
e4055b6eb404a0b8c7780d14a8864a281ab3393b,Santa Fe Institute,Santa Fe NM USA,positive
e4055b6eb404a0b8c7780d14a8864a281ab3393b,Boulder CO,Santa Fe NM USA,positive
e4720dfdbc2d0da5db0ddf04cdab3a531c74680f,,,
e7fe1891f6c557ae7ff7b93a6c43d58985e3a730,City University of New York,,
f39cb3680b0810fb794c0b52690cb9e3e0b16ced,Stanford University,Stanford California,positive
f68f5ed0e2bae67aab952f569e7eefc4b621a5ad,,,positive
f6a13f116e270dde9d67848495f801cdb8efa25d,,,positive
fefe47f58678336ed09e72baf622a64f73fa93ad,Texas A&M University,College Station TX,negative
